Datum,Time,WP [MPa],mean(WP),height [m],time/0.1ml [s],mean(time),length [m],Surface in [m²],Surface out [m²],T [°C],density [kg/m³],delta m [m³],P [Pa],Q [m³/s],Remarks,mean(WP),K,PLC,Ks,PLCs
11/09/2019,8.26,-0.1,-0.13,0.359,11.67,12.25,0.148,2.85E-02,2.96E-02,26,"996,783",9.99E-05,3.51E+06,8.15E-06,,-0.13,2.23E-08,0,5.68E-06,0
,,,,,11.76,,,,,,,,,,,,,,,
,,,,,13.33,,,,,,,,,,,,,,,
,,-0.12,,0.676,6.47,6.67,,,,,,9.99E-05,6.61E+06,1.50E-05,,,,,,
,,,,,6.65,,,,,,,,,,,,,,,
,,,,,6.88,,,,,,,,,,,,,,,
,,-0.18,,0.94,4.77,4.8,,,,,,9.99E-05,9.19E+06,2.08E-05,,,,,,
,,,,,4.88,,,,,,,,,,,,,,,
,,,,,4.74,,,,,,,,,,,,,,,
,8.59,-0.19,-0.21,0.355,14.87,15.74,0.15,4.18E-02,3.53E-02,26,"996,783",9.99E-05,3.47E+06,6.35E-06,,-0.21,1.88E-08,"155,994,978",3.66E-06,35.53
,,,,,15.99,,,,,,,,,,,,,,,
,,,,,16.36,,,,,,,,,,,,,,,
,,-0.23,,0.673,8.18,8.28,,,,,,9.99E-05,6.58E+06,1.21E-05,,,,,,
,,,,,8.43,,,,,,,,,,,,,,,
,,,,,8.22,,,,,,,,,,,,,,,
,,-0.21,,0.936,5.87,5.86,,,,,,9.99E-05,9.15E+06,1.71E-05,,,,,,
,,,,,5.86,,,,,,,,,,,,,,,
,,,,,5.85,,,,,,,,,,,,,,,
,9.49,-3.6,-3.63,0.349,29.62,30.04,0.154,3.22E-02,2.91E-02,26,"996,783",9.99E-05,3.41E+06,3.33E-06,,-3.63,1.15E-08,"557,063,912",2.88E-06,49.29
,,,,,30.31,,,,,,,,,,,,,,,
,,,,,30.19,,,,,,,,,,,,,,,
,,-3.65,,0.67,15.42,15.05,,,,,,9.99E-05,6.55E+06,6.64E-06,,,,,,
,,,,,14.58,,,,,,,,,,,,,,,
,,,,,15.14,,,,,,,,,,,,,,,
,,,,0.93,10.17,10.12,,,,,,9.99E-05,9.09E+06,9.87E-06,direct gestart met uitdrogen,,,,,
,,,,,10.19,,,,,,,,,,,,,,,
,,,,,10.01,,,,,,,,,,,,,,,
,10.25,-3,-3.05,0.349,22.41,22.81,0.149,2.84E-02,2.97E-02,26,"996,783",9.99E-05,3.41E+06,4.38E-06,,-3.05,1.62E-08,"-1,557,544,643",4.15E-06,26.95
,,,,,22.84,,,,,,,,,,,,,,,
,,,,,23.18,,,,,,,,,,,,,,,
,,-2.85,,0.668,11.84,11.8,,,,,,9.99E-05,6.53E+06,8.47E-06,,,,,,
,,,,,11.67,,,,,,,,,,,,,,,
,,,,,11.89,,,,,,,,,,,,,,,
