Id,psi,PLC,species,GF
1,-4.0114274,99.65913,C. bilberganius,Tree
1,-3.918722,93.01907,C. bilberganius,Tree
1,-1.9869955,95.33315,C. bilberganius,Tree
1,-1.9881116,85.48315,C. bilberganius,Tree
1,-1.4426746,87.826904,C. bilberganius,Tree
1,-1.2407895,82.46931,C. bilberganius,Tree
1,-0.9457863,74.11188,C. bilberganius,Tree
1,-0.94627154,69.82926,C. bilberganius,Tree
1,-0.74419224,66.18471,C. bilberganius,Tree
1,-0.72914976,61.4735,C. bilberganius,Tree
1,-0.43385538,55.685635,C. bilberganius,Tree
1,-0.43434063,51.403023,C. bilberganius,Tree
1,-0.43451044,49.90411,C. bilberganius,Tree
1,-0.43552947,40.91062,C. bilberganius,Tree
1,0,0,C. bilberganius,Tree
1,0,0,C. bilberganius,Tree
1,0,0,C. bilberganius,Tree
1,0,0,C. bilberganius,Tree
2,-1.9838657,94.287186,E costaricensis,Tree
2,-1.9381073,85.75732,E costaricensis,Tree
2,-1.4573776,66.98351,E costaricensis,Tree
2,-1.4581053,60.586857,E costaricensis,Tree
2,-0.97642934,50.128696,E costaricensis,Tree
2,-0.97681755,46.717148,E costaricensis,Tree
2,-0.9470964,34.136402,E costaricensis,Tree
2,-0.51222205,23.039572,E costaricensis,Tree
2,-0.46568727,21.332802,E costaricensis,Tree
2,-0.46605122,18.134476,E costaricensis,Tree
2,0,0,E costaricensis,Tree
2,0,0,E costaricensis,Tree
3,-4.9568014,85.181335,E nesotica,Tree
3,-3.5243895,79.82033,E nesotica,Tree
3,-2.5126102,73.82863,E nesotica,Tree
3,-1.4707702,58.241447,E nesotica,Tree
3,-0.47857046,17.06908,E nesotica,Tree
3,0,0,E nesotica,Tree
3,0,0,E nesotica,Tree
4,-8.005531,92.922264,F. occidentalis,Tree
4,-8.00609,88.01823,F. occidentalis,Tree
4,-5.9818764,81.7917,F. occidentalis,Tree
4,-5.998787,70.064995,F. occidentalis,Tree
4,-6.0305943,64.30875,F. occidentalis,Tree
4,-6.0308857,61.750122,F. occidentalis,Tree
4,-3.9745247,64.26491,F. occidentalis,Tree
4,-3.9758348,52.751087,F. occidentalis,Tree
4,-3.9765627,46.354523,F. occidentalis,Tree
4,-3.9771693,41.024048,F. occidentalis,Tree
4,-2.015188,35.43851,F. occidentalis,Tree
4,-2.0160615,27.76263,F. occidentalis,Tree
4,-2.0168378,20.939625,F. occidentalis,Tree
4,-2.0172262,17.528122,F. occidentalis,Tree
4,-1.0353135,22.837671,F. occidentalis,Tree
4,-1.035823,18.360075,F. occidentalis,Tree
4,-1.0365509,11.963507,F. occidentalis,Tree
4,-1.036745,10.257755,F. occidentalis,Tree
4,-0.58517826,8.968811,F. occidentalis,Tree
4,-0.52297014,8.114607,F. occidentalis,Tree
4,-0.58563924,4.9176517,F. occidentalis,Tree
4,-0.47660524,4.915327,F. occidentalis,Tree
4,0,0,F. occidentalis,Tree
4,0,0,F. occidentalis,Tree
4,0,0,F. occidentalis,Tree
4,0,0,F. occidentalis,Tree
5,-2.129487,97.492546,G. superba,Tree
5,-1.9895431,95.3619,G. superba,Tree
5,-2.0218844,84.937035,G. superba,Tree
5,-1.5385828,88.756546,G. superba,Tree
5,-1.5399901,76.41612,G. superba,Tree
5,-1.1039026,75.98131,G. superba,Tree
5,-1.0109301,71.724,G. superba,Tree
5,-1.0274041,63.851994,G. superba,Tree
5,-1.0289084,50.660503,G. superba,Tree
5,-0.5927723,50.651222,G. superba,Tree
5,-0.51503646,49.37297,G. superba,Tree
5,-0.47032136,31.712402,G. superba,Tree
5,0,0,G. superba,Tree
5,0,0,G. superba,Tree
5,0,0,G. superba,Tree
6,-8.0452,97.39495,I. Vera,Tree
6,-8.045686,93.12143,I. Vera,Tree
6,-8.046025,90.12997,I. Vera,Tree
6,-8.030449,90.12964,I. Vera,Tree
6,-6.0380917,77.69383,I. Vera,Tree
6,-6.0383825,75.12972,I. Vera,Tree
6,-6.0385766,73.42031,I. Vera,Tree
6,-6.0396686,63.804897,I. Vera,Tree
6,-4.0472383,52.010117,I. Vera,Tree
6,-4.047651,48.37763,I. Vera,Tree
6,-4.047942,45.813515,I. Vera,Tree
6,-4.0180025,35.129055,I. Vera,Tree
6,-3.0686255,28.271122,I. Vera,Tree
6,-3.0690622,24.424955,I. Vera,Tree
6,-3.0081158,12.457772,I. Vera,Tree
6,-2.0263002,16.923998,I. Vera,Tree
6,-2.026858,12.009452,I. Vera,Tree
6,-2.0269551,11.154749,I. Vera,Tree
6,-1.0455279,12.20216,I. Vera,Tree
6,-1.045819,9.638049,I. Vera,Tree
6,-1.0462315,6.005558,I. Vera,Tree
6,-0.36038965,10.264432,I. Vera,Tree
6,-0.32962528,6.8449516,I. Vera,Tree
6,0,0,I. Vera,Tree
6,0,0,I. Vera,Tree
6,0,0,I. Vera,Tree
7,-2.512683,94.66708,M. argentea,Tree
7,-2.5135808,86.692894,M. argentea,Tree
7,-2.5140417,82.59804,M. argentea,Tree
7,-1.5481179,84.30138,M. argentea,Tree
7,-1.4396176,79.55762,M. argentea,Tree
7,-1.5494765,72.23233,M. argentea,Tree
7,-1.5499133,68.353,M. argentea,Tree
7,-1.0826247,68.342926,M. argentea,Tree
7,-1.0832312,62.954956,M. argentea,Tree
7,-0.99161744,46.57352,M. argentea,Tree
