Species,GrowthForm,p0,tlp,rwc.tlp,epsil,Cft,wd,sla,MAP,MAT,Reference,Biome,Long,Lat,Organ,Note
irvingia malayana,Tree,-1.69,-1.83,NA,38.38,NA,0.883333333,NA,2700,26.9,Baltzer et al. 2008,Tropical rainforest,99.78333333,7.56666667,Leaf,
mallotus penangensis,Tree,-1.02,-1.15,NA,27.57,NA,0.59,NA,1950,26.4,Baltzer et al. 2008,Tropical rainforest,102.3,2.96666667,Leaf,
millettia atropurpurea,Tree,-1.01,-1.12,NA,19.59,NA,0.61,NA,2700,26.9,Baltzer et al. 2008,Tropical rainforest,99.78333333,7.56666667,Leaf,
palaquium sumatranum,Tree,-1.66,-1.88,NA,24.88,NA,0.52,NA,2700,26.9,Baltzer et al. 2008,Tropical rainforest,99.78333333,7.56666667,Leaf,
parashorea densiflora,Tree,-1.7,-1.83,NA,37.03,NA,0.67,NA,1950,26.4,Baltzer et al. 2008,Tropical rainforest,102.3,2.96666667,Leaf,
quercus semiserrata,Tree,-1.18,-1.42,NA,34.05,NA,0.712333333,NA,2700,26.9,Baltzer et al. 2008,Tropical rainforest,99.78333333,7.56666667,Leaf,
shorea guiso,Tree,-1.21,-1.38,NA,32.43,NA,0.705,NA,1950,26.4,Baltzer et al. 2008,Tropical rainforest,102.3,2.96666667,Leaf,
shorea macroptera,Tree,-0.78,-0.93,NA,25.14,NA,0.425,NA,1950,26.4,Baltzer et al. 2008,Tropical rainforest,102.3,2.96666667,Leaf,
shorea parvifolia,Tree,-0.99,-1.1,NA,17.57,NA,0.405,NA,1950,26.4,Baltzer et al. 2008,Tropical rainforest,102.3,2.96666667,Leaf,
vatica odorata,Tree,-1,-1.27,NA,20.27,NA,0.79,NA,2700,26.9,Baltzer et al. 2008,Tropical rainforest,99.78333333,7.56666667,Leaf,
xanthophyllum affine,Tree,-1.59,-1.8,NA,26.76,NA,0.613333333,NA,1950,26.4,Baltzer et al. 2008,Tropical rainforest,102.3,2.96666667,Leaf,
barringtonia pendula,Tree,-0.79988148,-1.246333333,NA,NA,NA,0.52,NA,1608,20.8,Bartlett unpublished data,Tropical seasonal forest,101.574,21.6117,Leaf,
quercus oleoides,Tree,-2.616782742,-3.12,NA,23.8,NA,0.86,5.555555556,1528,25.6,"Brodribb et al. 2003, Brodribb&Holbrook 2005",Tropical seasonal forest,-85.56666667,10.86666667,Leaf,
rhedera trinervis,Tree,-1.130940445,-1.37056928,NA,19,NA,NA,5.882352941,1528,25.6,"Brodribb et al. 2003, Brodribb&Holbrook 2005",Tropical seasonal forest,-85.56666667,10.86666667,Leaf,
simarouba glauca,Tree,-1.843893324,-2.21,NA,10.8,NA,0.414188909,6.25,1528,25.6,"Brodribb et al. 2003, Brodribb&Holbrook 2005",Tropical seasonal forest,-85.56666667,10.86666667,Leaf,
bursera simaruba,Tree,-1.14744352,-1.39,NA,NA,NA,0.305,14.7893413,1528,25.6,Brodribb etal. 2003,Tropical seasonal forest,-85.56666667,10.86666667,Leaf,
calycophyllum candidissimum,Tree,-1.071003907,-1.3,NA,NA,NA,0.696666667,NA,1528,25.6,Brodribb etal. 2003,Tropical seasonal forest,-85.56666667,10.86666667,Leaf,
enterolobium cyclocarpum,Tree,-1.512655003,-1.82,NA,NA,NA,0.39,NA,1528,25.6,Brodribb etal. 2003,Tropical seasonal forest,-85.56666667,10.86666667,Leaf,
hymenaea courbaril,Tree,-1.813322953,-2.174006445,NA,NA,NA,0.792334,NA,1528,25.6,Brodribb etal. 2003,Tropical seasonal forest,-85.56666667,10.86666667,Leaf,
sweitenia macrophylla,Tree,-1.792933582,-2.15,NA,NA,NA,NA,NA,1528,25.6,Brodribb etal. 2003,Tropical seasonal forest,-85.56666667,10.86666667,Leaf,
gliricidia sepium,Tree,-1.325802616,-1.6,93,NA,NA,0.6175,NA,1528,25.6,Brodribb&Holbrook 2003,Tropical seasonal forest,-85.56666667,10.86666667,Leaf,
ventilago calyculata,Liana,-1.1,-1.28,NA,NA,NA,NA,17.05,1500,22.9,Chen et al. 2014,Tropical rainforest,101.4166667,24.68333333,Leaf,Juvenile stage
ventilago calyculata,Liana,-1.71,-1.94,NA,NA,NA,NA,17.05,1500,22.9,Chen et al. 2014,Tropical rainforest,101.4166667,24.68333333,Leaf,Mature stage
ziziphus attopensis,Liana,-0.68,-0.78,NA,NA,NA,NA,27.03,1500,22.9,Chen et al. 2014,Tropical rainforest,101.4166667,24.68333333,Leaf,Juvenile stage
ziziphus attopensis,Liana,-1.04,-1.34,NA,NA,NA,NA,27.03,1500,22.9,Chen et al. 2014,Tropical rainforest,101.4166667,24.68333333,Leaf,Mature stage
michelia hypolampra,Tree,-1.06,-1.4,NA,11,NA,NA,NA,1560,21.7,Chen et al. 2017,Tropical rainforest,101.7666667,21.9,Leaf,
mucuna interrupta,Liana,-0.99,-1.17,NA,7.42,NA,NA,NA,1560,21.7,Chen et al. 2017,Tropical rainforest,101.7666667,21.9,Leaf,
celastrus paniculatus,Liana,-1.28,-1.57,NA,14.48,NA,0.46,11.43,1560,21.7,Chen et al. 2017 + unpublished data,Tropical rainforest,101.7666667,21.9,Leaf,
celtis tetrandra,Tree,-1.96,-2.23,NA,16.53,NA,0.53,11.04,1560,21.7,Chen et al. 2017 + unpublished data,Tropical rainforest,101.7666667,21.9,Leaf,
ficus concinna,Tree,-1.63,-2.06,NA,25.81,NA,0.51,13.29,1560,21.7,Chen et al. 2017 + unpublished data,Tropical rainforest,101.7666667,21.9,Leaf,
harpullia cupanioides,Tree,-2.04,-2.37,NA,16.67,NA,0.44,12.5,1560,21.7,Chen et al. 2017 + unpublished data,Tropical rainforest,101.7666667,21.9,Leaf,
marsdenia sinensis,Liana,-0.97,-1.49,NA,10.91,NA,0.36,13.2,1560,21.7,Chen et al. 2017 + unpublished data,Tropical rainforest,101.7666667,21.9,Leaf,
streblus asper,Tree,-1.78,-2.26,NA,15.11,NA,0.55,12.08,1560,21.7,Chen et al. 2017 + unpublished data,Tropical rainforest,101.7666667,21.9,Leaf,
ventilago calyculata,Liana,-2.02,-2.34,NA,21.61,NA,0.48,12.86,1560,21.7,Chen et al. 2017 + unpublished data,Tropical rainforest,101.7666667,21.9,Leaf,
cordia alliodora,Tree,-1.76,-1.97,91.3,13.05,NA,0.520307692,NA,2600,26.5,Choat et al. 2007,Tropical rainforest,-79.85,9.15,Leaf,
cordia alliodora,Tree,-1.93,-2.16,89,12.84,NA,0.520307692,NA,1460,26.5,Choat et al. 2007,Tropical seasonal forest,-85.35,10.35,Leaf,
cordia alliodora,Tree,-1.71,-1.89,92,14.16,NA,0.520307692,NA,2600,26.5,Choat et al. 2007,Tropical rainforest,-79.85,9.15,Leaf,
