Id,psi,PLC
1,-2.5064905,98.42706
1,-1.9937488,90.95661
1,-1.2521273,82.89312
1,-0.74934405,75.62484
1,-0.2510822,57.199993
1,0,0
2,-2.5260854,94.480606
2,-2.011201,89.917076
2,-1.2565604,84.396324
2,-0.7453387,71.65102
2,-0.25701448,46.219284
2,0,0
3,-1.9891037,90.08468
3,-1.2521768,75.03283
3,-0.7495008,70.37317
3,-0.24117324,48.97926
3,0,0
4,-2.5378292,96.74087
4,-2.002248,87.739265
4,-1.2437787,89.36765
4,-0.7530958,49.661472
4,-0.23292923,12.808936
4,0,0
5,-1.9945326,91.905136
5,-1.2481835,89.91101
5,-0.73521906,76.85796
5,-0.24199004,59.713566
5,0,0
6,-2.4847503,97.97262
6,-1.9892669,89.992676
6,-1.2350249,86.951096
6,-0.72340447,71.87581
6,-0.22453262,43.20622
6,0,0
7,0,0
7,0.47444078,5.6847596
7,0.9987886,12.314692
7,1.4967246,33.29673
7,1.9875541,41.806545
7,2.4949808,51.02361
7,2.9946065,54.82783
7,3.986497,52.552486
7,4.993966,61.338142
7,5.9994445,90.36068
8,0,0
8,0.4969943,22.458841
8,1.0010176,57.47436
8,1.5092883,51.234272
8,1.9993229,60.463795
8,2.4982793,63.864338
8,3.0042417,80.04578
8,3.9954948,70.70275
8,5.0090814,86.92213
8,6.0073867,89.91156
9,-5.035035,100
9,-4.8298297,98.690475
9,-4.6246247,94.28571
9,-4.4344344,92.61905
9,-4.259259,86.78571
9,-4.2492495,85.71429
9,-4.029029,85.35714
9,-3.8188188,83.45238
9,-3.6186187,71.78571
9,-3.4234235,65
9,-3.2182183,60.95238
9,-3.018018,60.833332
9,-2.8228228,63.45238
9,-2.6126127,56.42857
9,-2.5175176,50.357143
9,-2.4224224,47.02381
9,-2.2072072,38.809525
9,-2.0170171,36.785713
9,-1.8318318,34.88095
9,-1.6216216,30.952381
9,-1.4114114,26.666666
9,-1.2062062,18.690475
9,-1.001001,18.690475
9,-0.7957958,18.095238
9,-0.6256256,17.5
9,-0.3903904,13.095238
9,-0.1951952,0.95238096
9,0,0
10,-5.045045,100
10,-4.8298297,100
10,-4.6146145,100
10,-4.4094095,99.88095
10,-4.239239,100
10,-4.029029,100
10,-3.8188188,98.21429
10,-3.7137136,87.85714
10,-3.6386387,88.09524
10,-3.4184184,81.90476
10,-3.2232232,74.166664
10,-3.0230231,70
10,-2.8228228,69.40476
10,-2.6126127,63.809525
10,-2.4224224,60.357143
10,-2.2272272,52.142857
10,-2.012012,46.07143
10,-1.901902,50.95238
10,-1.8068068,45.595238
10,-1.6316316,42.857143
10,-1.4314314,42.857143
10,-1.2062062,42.857143
10,-1.011011,39.04762
10,-0.8108108,36.666668
10,-0.6106106,26.785715
10,-0.4104104,18.690475
10,-0.2052052,2.142857
10,0.01001001,0.11904762
10,0,0
11,-4.2092094,98.690475
11,-4.019019,90.71429
11,-3.823824,89.88095
11,-3.7587588,86.07143
11,-3.6036036,79.64286
11,-3.4384384,78.21429
11,-3.2082083,75.11905
11,-3.0130131,67.2619
11,-2.8228228,65.71429
11,-2.6076076,67.61905
11,-2.4424424,58.690475
11,-2.2122123,47.97619
11,-2.092092,50.47619
11,-1.8068068,38.214287
11,-1.6266266,34.52381
11,-1.4114114,33.45238
11,-1.2012012,33.45238
11,-1.011011,32.02381
11,-0.8058058,28.571428
11,-0.6006006,23.690475
11,-0.42542544,11.785714
11,-0.21521522,4.285714
11,0,0
12,-2.0082645,96.86599
12,-2.008528,91.46056
12,-2.0086992,87.94704
12,-2.008831,85.244316
12,-2.0089364,83.082146
12,-1.4806948,96.29693
12,-1.4808265,93.594215
12,-1.513742,84.40674
12,-1.5139923,79.27158
12,-1.5060731,75.21707
12,-1.5061654,73.32517
12,-1.188804,89.79462
12,-1.1889621,86.55136
12,-1.1892388,80.87566
12,-1.1576674,62.49545
12,-1.1985943,55.470585
12,-1.1987393,52.497597
12,-0.9863964,79.243065
12,-0.9867917,71.13492
12,-0.98729235,60.864605
